content
" Despite a short-lived increase in Palestinian jobs in 2003, the economy is performing well below its potential, said a World Bank report.  Unemployment stood at 25%, compared with 10% before the uprising against Israeli occupation four years ago. Young people are particularly hard hit with 37% out of work, compared with 14% four years ago. But 104,000 new jobs were created last year during a brief easing of violence and closures. However, during the first half of this year, the Palestinian economy lost more than 22,000 jobs. Last year's growth rate of 6% can also be attributed to this temporary gap in violence, the report said. According to the report, Intifada, Closures and Palestinian Economic Crisis: An Assessment, there is a close link between the number of closures - both border closures and internal closures between cities - and Palestinian economic problems. The closures arranged by Israel restrict the movement of Palestinian people and goods, slowing down trade.  ""Closures are a key factor behind today's economic crisis in the West Bank,"" said Nigel Roberts, World Bank country director for the West Bank and Gaza. Nearly half of all Palestinians - some 47% - live below the poverty line and are particularly vulnerable to economic shocks. The report said even more would be on the poverty line without an average of $950m a year from international donors, some of which goes towards job creation. It also called on the Palestinian Authority to revive its reform programme and maintain financial discipline to create an investment-friendly climate. This week Colin Powell, US Secretary of State was visiting the West Bank to stress US support for a smooth Palestinian election in January. "
" Rap star Jay-Z is to become a record company executive after being put in charge of one of hip-hop's most influential labels, Def Jam.  Jay-Z, who said he would make no more music after 2003's The Black Album, will become the company's president and chief executive from January. Def Jam's parent company, Universal, made the appointment after buying Jay-Z's Roc-A-Fella label. Def Jam's artists include LL Cool J, DMX, Ludacris, Ja Rule and Ashanti. Jay-Z will continue to run Roc-A-Fella, which he founded with Damon Dash in 1995 and has Kanye West and Beanie Sigel on its roster. Universal said on Wednesday it had bought the 50% of Roc-A-Fella it did not already own.  Antonio ""LA"" Reid, chairman of The Island Def Jam Music Group, said: ""I can think of no-one more relevant and credible in the hip-hop community to build upon Def Jam's fantastic legacy."" He hoped Jay-Z would ""move the company into its next groundbreaking era"", he added. Jay-Z, real name Shawn Carter, said: ""I have inherited two of the most important brands in hip-hop, Def Jam and Roc-A-Fella.  ""I feel this is a giant step for me and the entire artist community."" One of the most successful and respected rap stars of the last eight years, Jay-Z's hits have included Hard Knock Life, Dirt Off Your Shoulder and 03 Bonnie and Clyde with his girlfriend Beyonce Knowles. He said he would retire after The Black Album, but has just released an album and been on an ill-fated tour with R Kelly. Def Jam was founded in 1984 by Russell Simmons and producer Rick Rubin and signed artists including Run-DMC, The Beastie Boys and Public Enemy. "
" A close associate of former Yukos boss Mikhail Khodorkovsky has told a court that fraud charges levelled against him are ""false"".  Platon Lebedev has been on trial alongside Mr Khodorkovsky since June in a case centring around the privatisation of a fertiliser firm. The pair claim they are being punished by the authorities for the political ambitions of Mr Khodorkovsky. Mr Lebedev said there were ""absurd contradictions"" in the case. Opening his defence, he said he could not see the legal basis of the charges he faced, which also include allegations of tax evasion. ""To my embarrassment, I could not understand the file of complaints against me,"" he told a Moscow court. Mr Lebedev headed the Menatep group, the parent company of Yukos.  Mr Lebedev and Mr Khodorkovsky, who each face a possible 10 year jail sentence if convicted, will be questioned by a judge over the next few days. Mr Khodorkovsky began his testimony last week, telling the court that he objected to the way that the ""running of a normal business has been presented as a work of criminal fiction"". The charges are seen by supporters as politically motivated and part of a drive by Russian President Vladimir Putin to rein in the country's super-rich business leaders, the so-called oligarchs. Yukos has been presented with a $27.5bn (£13bn) tax demand by the Russian authorities and its key Yugansk division was auctioned off to part settle the bill. The company's effort to gain bankruptcy protection in the US - in a bid to win damages for the sale - were dismissed by a court in Texas. "
" French actress Audrey Tautou, star of hit film Amelie, will play the female lead in the film adaptation of The Da Vinci Code, it has been reported.  The movie version of Dan Brown's best-selling novel is being directed by Ron Howard and also stars Tom Hanks. Tautou will play Hanks' code-cracking partner, according to various newspapers. She is currently starring in A Very Long Engagement, directed by Jean-Pierre Jeunet. Jeunet was also responsible for directing Tautou in Amelie in 2001, which launched the actress into the mainstream.  She also starred as the lead role in critically-acclaimed film Dirty Pretty Things in 2002. Oscar-winning director Ron Howard chose Tautou for the part, preferring a French actress to a big name Hollywood star. UK actress Kate Beckinsale had been widely tipped as a possibility for the role alongside Vanessa Paradis and Juliette Binoche. The thriller upon which the movie is based has sold more than 17 million copies and is centred on a global conspiracy surrounding the Holy Grail mythology. The Louvre Museum, scene of the gruesome murder at the beginning of the novel, recently gave permission for filming to take place there, showbusiness newspaper Variety reported. The $100m movie will be produced by Columbia/Sony Pictures and is due for release on May 19, 2006 in the United States and France. "
" Actress Nicole Kidman has won a restraining order against two paparazzi photographers who she claims left her fearful of leaving her Sydney mansion.  The Oscar-winning star took action against Jamie Fawcett and Ben McDonald after a bugging device was found outside her home earlier this week. Lawyers for the pair denied allegations they had planted the device. The Australian actress is currently in Sydney to film her latest movie, Eucalyptus, with Russell Crowe. Kidman was prompted to take action following a reported high-speed car chase with members of the paparazzi in Sydney last weekend.  According to local newspaper the Daily Telegraph, the incident involved paparazzi driving through red lights and on the wrong side of the road in pursuit of Kidman's vehicle. Lawyers for Mr Fawcett and Mr McDonald denied that the pair were involved in the chase. Kidman sought the ""apprehended violence"" orders - normally used in Australia in cases of domestic violence and similar incidents - after being advised to do so by local police. ""Nicole would like to make it clear that she acknowledges she is a public figure and that reporters and photographers have a job to do and she respects that,"" said Kidman's publicist Wendy Day. ""However, these are specific actions against two individuals who, over a period of time, have caused her to feel threatened, intimidated and unable to leave her home without fearing for her safety."" Magistrate Lee Gilmore, who issued the restraining order at Waverley Local Court in Sydney, said she understood the photographers were entitled to earn a living but there had to be limits to their behaviour. ""Miss Kidman says she's willing to put up with some of it, but it's gone beyond that,"" she said. ""I do believe the allegation in relation to the driving is a serious issue."" "
" French actress Audrey Tautou, star of hit film Amelie, will play the female lead in the film adaptation of The Da Vinci Code, it has been reported.  The movie version of Dan Brown's best-selling novel is being directed by Ron Howard and also stars Tom Hanks. Tautou will play Hanks' code-cracking partner, according to various newspapers. She is currently starring in A Very Long Engagement, directed by Jean-Pierre Jeunet. Jeunet was also responsible for directing Tautou in Amelie in 2001, which launched the actress into the mainstream.  She also starred as the lead role in critically-acclaimed film Dirty Pretty Things in 2002. Oscar-winning director Ron Howard chose Tautou for the part, preferring a French actress to a big name Hollywood star. UK actress Kate Beckinsale had been widely tipped as a possibility for the role alongside Vanessa Paradis and Juliette Binoche. The thriller upon which the movie is based has sold more than 17 million copies and is centred on a global conspiracy surrounding the Holy Grail mythology. The Louvre Museum, scene of the gruesome murder at the beginning of the novel, recently gave permission for filming to take place there, showbusiness newspaper Variety reported. The $100m movie will be produced by Columbia/Sony Pictures and is due for release on May 19, 2006 in the United States and France. "
" The sixth and final Star Wars movie may not be suitable for young children, film-maker George Lucas has said.  He told US TV show 60 Minutes that Revenge of the Sith would be the darkest and most violent of the series. ""I don't think I would take a five or six-year-old to this,"" he told the CBS programme, to be aired on Sunday. Lucas predicted the film would get a US rating advising parents some scenes may be unsuitable for under-13s. It opens in the UK and US on 19 May. He said he expected the film would be classified PG-13 - roughly equivalent to a British 12A rating.  The five previous Star Wars films have all carried less restrictive PG - parental guidance - ratings in the US. In the UK, they have all been passed U - suitable for all - with the exception of Attack of The Clones, which got a PG rating in 2002. Revenge of the Sith - the third prequel to the original 1977 Star Wars film - chronicles the transformation of the heroic Anakin Skywalker into the evil Darth Vader as he travels to a Hell-like planet composed of erupting volcanoes and molten lava. ""We're going to watch him make a pact with the devil,"" Lucas said. ""The film is much more dark, more emotional. It's much more of a tragedy."" "
" Telecoms equipment maker Nortel Networks has sharply revised downwards its profits for the 2003 fiscal year.  In a long-awaited filing, Nortel said it had made $434m (£231m), compared to the previously reported $732m. But the figures - revised after an audit which led to the sacking of the Canadian firm's chief - showed revenue was about 4% higher than first thought. Nortel shares, which have lost nearly 50% of their value since last year, climbed 1.46% in Toronto on Tuesday. Nortel's head Frank Dunn and two other executives were fired in January last year after the company announced it had conducted the internal audit. Securities and police authorities in both the US and Canada are still conducting inquiries into the accounts.  Nortel also issued new figures for the 2001-2002 period, which they had previously indicated had understated losses. ""With the completion of our restatements we have a solid foundation on which to move forward with our business,"" said Nortel president and chief executive Bill Owens. ""The restatement has been a monumental task, both complex and demanding."" The company also said 12 senior executives - none of whom were involved directly in the accounting of the revised figures - have voluntarily agreed to repay to bonuses awarded in 2003 totalling $8.6m. Nortel added: ""these members of the core executive team share the board's deep disappointment over the circumstances that led to the restatement."" "
" Wales hooker Mefin Davies is likely to stay with English side Gloucester despite reported interest from the Neath-Swansea Ospreys.  BBC Wales understands the Ospreys are interested in the 32-year-old, but that he would prefer to stay where he is. Davies, one of the stars of Saturday's RBS Six Nations win over England, is only on a year contract at Kingsholm. But the hooker has proved his worth to the Zurich Premiership side and is likely to get a new deal next season. The summer demise of the Celtic Warriors region left Davies in the cold and forced him to take a semi-professional contract with Neath RFC. Although he got match time with the Ospreys at the request of the Wales management, he admitted before his move to Gloucester that he was angry with the way he was treated. ""The WRU didn't give me any help off the field, it was very disappointing,"" Davies said at the time. ""It was a hard time throughout the summer, then deciding whether to accept an offer from Stade Francais which would have ended my Wales career."" "
" Tony Blair is likely to name 5 May as election day when Parliament returns from its Easter break, the BBC's political editor has learned.  Andrew Marr says Mr Blair will ask the Queen on 4 or 5 April to dissolve Parliament at the end of that week. Mr Blair has so far resisted calls for him to name the day but all parties have stepped up campaigning recently. Downing Street would not be drawn on the claim, saying election timing was a matter for the prime minister.  A Number 10 spokeswoman would only say: ""He will announce an election when he wants to announce an election."" The move will signal a frantic week at Westminster as the government is likely to try to get key legislation through Parliament. The government needs its finance bill, covering the Budget plans, to be passed before the Commons closes for business at the end of the session on 7 April.  But it will also seek to push through its Serious and Organised Crime Bill and ID cards Bill. Mr Marr said on Wednesday's Today programme: ""There's almost nobody at a senior level inside the government or in Parliament itself who doesn't expect the election to be called on 4 or 5 April. ""As soon as the Commons is back after the short Easter recess, Tony Blair whips up to the Palace, asks the Queen to dissolve Parliament ... and we're going."" The Labour government officially has until June 2006 to hold general election, but in recent years governments have favoured four-year terms. "
