text,label,style
"""Dinner Guest"" is a song recorded by British rapper, singer, songwriter and record producer AJ Tracey featuring British rapper MoStack. It was released as a single on 29 April 2020 as the lead single from the former's second studio album Flu Game (2021). The song peaked at number 5 on the UK Singles Chart, spending a total of 12 weeks in the top ten. The song features a sample of ""Push the Feeling On"" by Nightcrawlers. Production The song was written in January 2020 and saw a collaboration in production between AJ Tracey and The Elements. With the COVID-19 pandemic first hitting the UK and the world in the early months of the year, Tracey announced that all first week download profits from sales of ""Dinner Guest"" would be donated to the COVID-19 Urgent Appeal, to support NHS staff and volunteers. This followed his appearance on the BBC Radio 1 charity single ""Times Like These"", which topped the chart and also raised money for the NHS. Tracey used a sample of ""Push the Feeling On"" by Scottish house music producers Nightcrawlers as the hook for the song. It was one of two songs released in 2020 to sample ""Push the Feeling On"", the other being ""House Party"" by Mist featuring Fredo. Chart performance ""Dinner Guest"" entered the top 10 on its first week of release, making its bows at number 8. It hovered between positions 8 to 10 for six weeks before rising to number 6 and finally its peak of number five on the chart week ending 25 June 2020. Charts Weekly charts Year-end charts Certifications References 2020 singles 2020 songs AJ Tracey songs MoStack songs Songs written by AJ Tracey Songs written by MoStack",human,informative
"The 2013 New Zealand local elections were triennial elections to elect local government officials and District Health Board members, and the membership of other local bodies such as Licensing Trusts. All elections were conducted by postal ballot, with election day being Saturday 12 October 2013. Electoral systems The local elections were held using postal ballot. Most city and district councils and all but one regional council used the first-past-the-post (FPP) voting system, with the exception of the following six city and district councils that used the single transferable vote (STV) voting system: Dunedin City Council Kapiti Coast District Council Marlborough District Council Palmerston North City Council Porirua City Council Wellington City Council The Wellington Regional Council was the sole regional council using the STV system. Environment Canterbury and Kaipara District were under statutory management and no elections were held. All District Health Boards used the STV system. Timeline Under section 10 of the Local Electoral Act 2001, a ""general election of members of every local authority or community board must be held on the second Saturday in October in every third year"" from the date the Act came into effect in 2001, meaning 12 October 2013. Key dates for the election as set out by the Electoral Commission are: Political commentator Vernon Small thought that the government would likely try and combine the local elections with the asset sales referendum, but this did not happen. Instead, the referendum was held via postal ballot between 22 November and 13 December. Mayoral elections Notes See also 2013 Auckland local elections 2013 Hamilton local elections and referendums 2013 Rangitikei local elections 2013 Wellington local elections References Local 2013 2013 in New Zealand October 2013 events in New Zealand",human,informative
"Bahamut is the debut album by American blues/folk/world music/jazz band Hazmat Modine. The album was released on August 26, 2006 by Barbès Records. Most tracks were composed by lead singer Wade Schuman; the album also includes arrangements of traditional songs. Tuvan folk band Huun-Huur-Tu feature on three tracks with their characteristic throat singing. Track listing Personnel Hazmat Modine Henry Bogdan: Hawaiian guitar Josh Camp: Claviola Joseph Daley: Tuba Steve Elson: Baritone saxophone Alexander Fedoriouk: Cimbalom Michael Gomez: Guitar Daniel Hovey: Guitar Richard Huntley: Drums Wade Schuman: Guitar, harmonica, lute, vocals Jon Sholle: Guitar Pete Smith: Guitar Scott Veenstra: Drums Randy Weinstein: Guitar, vocals Huun-Huur-Tu Sayan Bapa Anatoli Kuular Reception Bahamut peaked at #12 on Billboard's ""Top Blues Albums"" chart. Reviewing the album for Allmusic, Jeff Tamarkin gave it four stars out of a possible five, and termed it a ""stunning debut"". Tamarkin praised the band for successfully fusing styles as disparate as blues, jazz, klezmer, calypso, and ska into ""music that sounds at once ageless and primeval, authentically indigenous and inexplicably otherworldly, familiar and unlike anything else."" He also praised the group for making ""listener-friendly music"" that doesn't ""require a degree in ethnomusicology to enjoy"". Pitchfork Media reviewer Joe Tangari gave the album's track ""Everybody Loves You,"" a collaboration with Tuvan throat singers Huun-Huur-Tu, a four-star review. Characterizing it as ""generalized roots music that takes from pretty much any roots it sees fit,"" he praised it as ""true world music, weird and wonderful to the last note."" References External links 2006 debut albums Hazmat Modine albums",human,informative
"Robert ""Bobby"" J. Villeneuve (born August 11, 1963 in Yellowknife, Northwest Territories) is a former member of the Northwest Territories Legislative Assembly and former retail manager. Villeneuve was first elected to the Northwest Territories Legislature in the 2003 Northwest Territories general election defeating incumbent Steven Nitah to win the Tu Nedhe electoral district. He became mired in a scandal towards the end of his first term in office. Villeneuve was disciplined by the Conflict of Interest commissioner in June 2007 after swearing a legal oath that he lived in Fort Resolution, Northwest Territories. Swearing the oath allowed him to gain access to a $25,000 a year capital housing allowance to provide for living accommodations in Yellowknife. The total estimated cost to tax payers was $65,000. He was forced to pay back $10,000 of it after it was determined he did not actually live in Fort Resolution. He was defeated in his bid for re-election in the 2007 Northwest Territories general election. He finished with 2.5% of the vote, coming in a distant fourth place in a field of six candidates. References External links Robert Villeneuve biography 1963 births Living people Members of the Legislative Assembly of the Northwest Territories University of Alberta alumni People from Yellowknife Franco-Ténois people 21st-century Canadian politicians",human,informative
"Phoenix is the fifth album by the American singing trio Labelle. The album was moderately successful, peaking at #44 on the pop charts and #10 on the R&B charts. Only one minor hit was released, ""Messin With My Mind"", written by Nona Hendryx. The album is most notable for drifting away from the funk style of their previous album, Nightbirds, instead taking on a rock approach. Track listing All tracks composed by Nona Hendryx; except where indicated Side A ""Phoenix (The Amazing Flight of a Lone Star)"" (6:17) ""Slow Burn"" (3:32) ""Black Holes in the Sky"" (3:21) ""Good Intentions"" (3:57) ""Far As We Felt Like Goin'"" (2:58) (Bob Crewe, Kenny Nolan) Side B ""Messin' with My Mind"" (4:36) ""Chances Go Round"" (Nona Hendryx, Edward Levone Batts, James Budd Ellison) (2:50) ""Cosmic Dancer"" (5:49) ""Take the Night Off"" (3:38) ""Action Time"" (Edward Levone Batts, James Ellison; with additional lyrics by Nona Hendryx) (3:51) Charts Personnel Nona Hendryx, Patti Labelle, Sarah Dash - vocals Edward Batts - guitar; acoustic guitar on tracks A5, B5 Carmine Rojas - bass guitar on tracks A4, B1, B5 James Ellison - keyboards Larry Davis - drums Jeffrey Shannon - percussion with: George Porter, Jr. - bass on tracks A1 to A3, A5, B2 to B4) Herman Ernest III - drums Leo Nocentelli (tracks: A1, A2, A4, B1 to B5), Steve Hughes (tracks: A4, B1, B5), Teddy Royal (tracks: A2, A5) - guitar Allen Toussaint - Fender Rhodes, arrangements James Booker - organ Carl Blouin - baritone saxophone Jim Moore - tenor & alto saxophone, flute Lon Price - tenor saxophone Lester Caliste - trombone John Longo - trumpet Steve Howard - trumpet, flugelhorn Vicki Wickham - executive producer Don Puluse, Ken Laxton - engineers Tom Huetis - photography References External links Phoenix on Discogs.com 1975 albums Labelle albums Albums produced by Allen Toussaint Epic Records albums",human,informative
"Danny De Bie (born 23 January 1960) is a former Belgian professional cyclist and directeur sportif, who won the men's race at the 1989 UCI Cyclo-cross World Championships. His brothers Eddy De Bie and Rudy De Bie also competed professionally. Career Born in Beersel, De Bie achieved several successes on the road but started to focus on cyclo-cross full-time after taking the silver medal at the 1987 UCI Cyclo-cross World Championships. He went to Switzerland which was at that time the main place for cyclo-cross races. Two years later he achieved that. The World Cyclo-Cross Championships parcours at Pont-Château in 1989, was a course that was suited to him. De Bie was able to cycle up a tough climb of almost 100 metres where his opponents such as Adri van der Poel had to walk and as a result De Bie was able to make a gap every time he went over the climb. After winning the rainbow jersey, De Bie became one of the best cyclo crossers of the world with a win in the Superprestige classification and increased popularity for the sport in Belgium. In 1991 De Bie was suspected of possible tampering with a doping control after a Superprestige race in Zillebeke and he was not allowed to take part in the World Championships that year in Gieten. De Bie was Belgium cyclo-cross champion for three years in a row and then beaten by Paul Herijgers. De Bie in his career won 11 Superprestige races. After his career he worked as directeur sportif for the team between 2000 and 2014, and in 2015. References External links 1960 births Living people Belgian male cyclists Cyclo-cross cyclists UCI Cyclo-cross World Champions (men) People from Beersel Sportspeople from Flemish Brabant Belgian cyclo-cross champions",human,informative
"Mezek () is a village in southeastern Bulgaria, part of Svilengrad municipality, Haskovo Province. It lies at the foot of the eastern Rhodope Mountains, just north of the Bulgaria–Greece border and not far west of the Bulgaria–Turkey border. Mezek is famous for the well-preserved medieval Mezek Fortress (Neoutzikon - Νεούτζικον) and its two ancient Thracian beehive tombs, the Mezek and Sheynovets tombs. The village is also well known for its own winery and the Mezzek brand of Bulgarian wine. Fortress and Tomb The Mezek Fortress, in area, is claimed to be among the best preserved Bulgarian medieval castles. It dates to the 11th century. Along with the Thracian tombs, it was studied by a team under archaeologist Bogdan Filov in 1931–1932. The castle has nine towers, five of which lie at the vulnerable south wall. The Mezek Fortress was built out of stone, with two decorative lines of bricks on the outside. It suffered some destruction around 1900, when stones from the fortress were used for the construction of Ottoman barracks in Svilengrad. The Mezek Thracian tomb dates to the 4th century BC. It is a large, elongated tomb that includes a covered passage of , two rectangular antechambers of different size and a round burial chamber with a stone sarcophagus. The number of burials of noble Thracians in the tomb was no less than four. Gold, silver, bronze, iron and glass items and pottery discovered in the tomb are today displayed in the National Archaeological Museum in Sofia. Nature There is an eco-trail Sheynovets peak starting at the center of the village. It's 7 km in length and requires around 6 hours for a return trip. Mezek Peak in Imeon Range on Smith Island in the South Shetland Islands, Antarctica is named after Mezek. References Villages in Haskovo Province Castles in Bulgaria Thracian sites",human,informative
"Eulace Peacock (August 27, 1914 – December 13, 1996) was an American track and field athlete in the 1930s. Peacock was born in Dothan, Alabama and raised in the Vauxhall section of Union Township, New Jersey, where he graduated from Union High School in 1933. He set the New Jersey high school record in 1933 with a long jump of that was on the books for 44 years until Renaldo Nehemiah had a jump measured at He became a rival to Jesse Owens in many sprinting competitions. He broke the high school record in the long jump the same day it was bettered by Owens. ""I had that record for two hours."" He attended Temple University in Philadelphia where he became a member of Alpha Phi Alpha fraternity. Peacock won the Amateur Athletic Union (AAU) outdoor pentathlon championship six times, in 1934, 1935, 1937, and from 1943 through 1945. He was a sprinting prodigy, who bested the notable prodigy of his time, Owens, on several occasions. A victory by Peacock over Owens in a July 1935 meet in Lincoln, Nebraska led The New York Times to say that ""Peacock's star still is in the ascendancy"" under the headline ""Peacock's Victories Over Owens Project Duel for Olympic Fame"" After pulling a hamstring muscle, he was unable to qualify for the 1936 Summer Olympics in Berlin, Germany. In 1942 he served in the United States Coast Guard; in later years he opened a liquor store and a car-rental business. He stayed connected with athletics by officiating at championship events and Olympic qualifying trials. He has been honored by a number of athletic bodies, including the National Track and Field Hall of Fame. Peacock died of Alzheimer's disease at age 82 in Yonkers, New York and was interred in Kensico Cemetery in Valhalla, NY. References External links N.Y. Times Article on Eulace Peacock Full Biography of Eulace Peacock New York Times Obituary for Eulace Peacock 1914 births 1996 deaths Manhattan Beach Coast Guard Depth Bombers football players American male sprinters Temple University alumni Sportspeople from Dothan, Alabama Burials at Kensico Cemetery Neurological disease deaths in New York (state) Deaths from Alzheimer's disease USA Outdoor Track and Field Championships winners People from Union Township, Union County, New Jersey Sportspeople from Union County, New Jersey Union High School (New Jersey) alumni United States Coast Guard personnel of World War II",human,informative
"Agnes ""Nan"" Paterson Hardie (5 October 1885 – 27 June 1947) was a Scottish labour movement activist. Life Hardie was born in Cumnock in Ayrshire, Hardie was the daughter of Keir and Lilian Hardie. Hardie was then a prominent mining trade unionist, and he later became the first leader of the Labour Party. Keir believed that Nan would be his political heir, and spent a large amount of time discussing politics with her, and introduced her to other leading figures in the movement; notably, John Bruce Glasier, with whom she retained a long-term friendship. Nan left school at the age of fourteen but, three years later, became seriously ill, suffering from pleurisy and appendicitis; although she recovered, she suffered with poor health for the remainder of her life. She accompanied her father on many speaking trips, including one to Nova Scotia in 1912, until 1915 when he became ill; Nan and her mother looked after him until he died, later in the year. In 1924, Hardie married Emrys Hughes, a socialist journalist, and she spent much of the next decade assisting him in his journalistic and political career. In 1933, she herself was elected to Cumnock Town Council, on which she served as convenor of the Public Health Committee. In 1935, she succeeded her husband as provost, and the two together waged a long campaign for slum clearance and their replacement with council housing. This was massively successful, and by 1939, three-quarters of the town's population lived in council houses. Hardie took a particular interest in children's activities, founding a park and lido in the town, and also promoted cycling. She was appointed as a magistrate, and during World War II chaired the Cumnock War Work Party; although, like her husband, she opposed the conflict, she was keen to assist in the welfare of those serving in the force and their dependents. In 1946, Hughes became seriously ill, and Hardie tried to resign as provost. Instead, the council persuaded her to take a leave of absence, but the process of caring for him damaged her own health, and she died in June 1947. References 1885 births 1947 deaths Scottish Labour councillors People from Cumnock Women provosts in Scotland Women councillors in Scotland",human,informative
"Petru Bogdan (29 January 1873 – 28 March 1944) was a Romanian chemist, educator, and politician. In 1926, he was elected a titular member of the Romanian Academy. He was born in Cozmești, Iași County, the son of Vasile Bogdan (the mayor of the village) and Ana, née Timuș; his father died four years laters, during the Romanian War of Independence of 1877. Bogdan was a professor at the University of Iași. He wrote the first treatise on physical chemistry in the Romanian language. In 1923, one of his students, Theodor V. Ionescu, who worked in plasma physics, was the first to defend a PhD thesis in physics at the University of Iași. Bogdan was a member of the National Peasants' Party. He served as Mayor of Iași from January 1930 to March 1934. He had 7 children, Margareta, Gheorghe, Maria, Elena, Ana, , and Ioan; one of his grandsons was Ioan Petru Culianu. Publications Studiul Chimiei Fisicale (4 volumes) ITeoria cinetică, IITermodinamica, IIIElectrochimia, IVStructura atomului. Radioactivitatea. References External links University of Iași Romanian chemists Rectors of Alexandru Ioan Cuza University Titular members of the Romanian Academy Mayors of Iași 1873 births 1944 deaths People from Iași County Alexandru Ioan Cuza University alumni Humboldt University of Berlin alumni National Peasants' Party politicians",human,informative
"A clearance car is a type of railroad car in maintenance of way service. Its purpose is to check the clearances around the tracks and ensure that trains conforming to the railroad's standard loading gauge or dynamic envelope will not encounter any obstruction. Additionally, by measuring the actual clearances along a route, the railroad can determine whether outsize loads can be accommodated along that route, and the largest size feasible. Design Early clearance cars simply consisted of an outline of the system loading gauge attached to a railroad car, which would be towed along the route to ensure the clearances were still sufficient. Later clearance cars functioned by using physical feelers—rods which extended from the car in all directions which would be deflected back by obstructions. These would be connected to instrumentation which displayed the actual clearance at that point. These feelers have an advantage in that they bounce back and do not break if they do hit something. Subsequently, clearance cars using lasers for measurement have come into service. These are generally HiRail trucks – road vehicles with supplemental rail wheels. Benefits The clearance car allowed accurate and speedy measurement of the clearances for a structure. Generally they were only owned by larger railroads; other railroads sometimes leased them for short periods. Some were self-propelled, while others were locomotive-hauled. Gallery See also Clearance space Structure gauge Wayobjects References External links MOW equipment page 11 at North East Rails, including several clearance cars. Article on the Pennsylvania Railroad clearance car at the Pennsylvania Railroad Technical and Historical Society's site, written by a former clearance car crewmember. Maintenance of way equipment",human,informative
"Pauline Vanier Park is a public park in Ottawa's Riverside Park area, located on Harkness Avenue. It is named after Pauline Vanier. The park was built in the early 1960s on what had been the Munro farm, next to neighbouring General Vanier Public School. The Riverside Park Community and Recreation Association organized fireworks displays for over twenty years until changes in safety legislation required its removal to a larger area. Sheldon Ridgeway, then an Ottawa firefighter, started the public activity. After a six-year gap, the fireworks display was moved to Mooney's Bay in 2015. Facilities The park has swings and play structures for children as well as a wading pool. The city of Ottawa operates and staffs the wading pool during the summer season. The pool is not fenced. It is filled during the day and supervised by lifeguards. In the evenings, the pool is drained prior to staff leaving. The park field house is used by the lifeguards as an office and to store supplies. The field house was one of six field houses built at the same time by the City of Ottawa in 1967. The park also has two baseball diamonds with back stops, and one t-ball diamond. In the winter, a temporary skating rink, with boards, is set up in the park. The field house is used as a change room for skaters. Volunteers from the Riverside Park Community and Recreation Association take care of the ice during the season. References External links Riverside Park Community and Recreation Association Parks in Ottawa",human,informative
"Tiffany D. Cross (born February 6, 1979) is an American journalist, television personality, political analyst, and author. She is the host of The Cross Connection, a Saturday morning MSNBC show. Early life and education Cross was born in Ohio. She grew up between Cleveland, Ohio and Atlanta, Georgia. When she was a teenager, she wanted to be the ""brown Murphy Brown"". She attended Clark Atlanta University where she majored in Mass Communications with an emphasis on radio, television, and film. Career Cross' first journalism job was as a reporter at an Atlanta radio station. Eventually, she worked for CNN as an associate producer in the 2000s. She was also the Washington, D.C. bureau chief for BET Networks. She later became a resident fellow at the Harvard Kennedy School's Institute of Politics. Cross also made regular appearances on MSNBC, most notably on AM Joy with Joy Reid. In July 2020, her book Say It Louder: Black Voters, Our Voices, and the Shaping of American Democracy was published. That same month, Joy Reid's new weekday show, The ReidOut started and Cross became one of a handful of rotating guest hosts of AM Joy. As of August, Cross, Jonathan Capehart and Zerlina Maxwell were being considered for the weekend slot by MSNBC. Months later, in December, Cross was named host of a new, two hour show on MSNBC, Cross Connection (often stylized as Crosstalk), replacing Reid's AM Joy Saturday slot, with Capehart taking the Sunday slot and Maxwell hosting her own show on NBC Peacock. Works Say It Louder!: Black Voters, Our Voices, and the Shaping of American Democracy. New York: Amistad (2020). References External links 1979 births Living people African-American television hosts American women television journalists Clark Atlanta University alumni African-American journalists MSNBC people African-American women writers American women non-fiction writers American political journalists American women television presenters Journalists from Washington, D.C. Journalists from Georgia (U.S. state) Writers from Atlanta BET Networks 21st-century American journalists 21st-century American women writers 21st-century American non-fiction writers",human,informative
